real_arrival_time,trip_instance_id,expected_arrival_time,code
2024-01-06 02:18:32.28+00,396460,98280,10108
2024-01-06 02:19:47.182599+00,396460,98340,110241
2024-01-06 02:21:42.287+00,396460,98460,110250
2024-01-06 02:24:04.633775+00,396460,98580,110223
2024-01-06 02:25:12.347+00,396460,98640,120269
2024-01-06 02:26:50.377+00,396460,98760,11321
2024-01-06 02:27:39.327+00,396460,98820,21101
2024-01-06 02:28:46.253+00,396460,98880,21130
2024-01-06 02:32:40.267+00,396460,99180,21121
2024-01-06 02:34:53.538644+00,396460,99300,11320
2024-01-06 02:36:36.61201+00,396460,99360,11325
2024-01-06 02:38:36.76376+00,396460,99420,11327
2024-01-06 02:38:53.317+00,396460,99480,11301
2024-01-06 02:40:03.484391+00,396460,99540,11317
2024-01-06 02:40:27.099726+00,396460,99600,11303
2024-01-06 02:41:39.24+00,396460,99660,11337
2024-01-06 02:42:28.257+00,396460,99720,11305
2024-01-06 02:43:47.327+00,396460,99780,11312
2024-01-06 02:44:33.497346+00,396460,99840,16519
2024-01-06 02:45:25.201132+00,396460,99900,16523
2024-01-06 02:46:14.34+00,396460,99960,16507
2024-01-06 02:46:32.31+00,396460,99960,16503
2024-01-06 02:47:29.267+00,396460,100020,16505
2024-01-06 02:48:04.268306+00,396460,100080,16531
2024-01-06 02:48:51.061999+00,396460,100140,16701
2024-01-06 02:49:44.287+00,396460,100200,16705
2024-01-06 02:50:21.237+00,396460,100260,17118
2024-01-06 02:00:19.277+00,396461,97200,110024
2024-01-06 02:02:52.387+00,396461,97260,10126
2024-01-06 02:03:35.37+00,396461,97320,110221
2024-01-06 02:04:27.155925+00,396461,97380,110223
2024-01-06 02:06:02.39+00,396461,97440,120269
2024-01-06 02:08:05.403+00,396461,97560,11321
2024-01-06 02:09:13.387+00,396461,97620,21101
2024-01-06 02:01:57.367+00,396462,97380,21121
2024-01-06 02:04:20.768475+00,396462,97500,11320
2024-01-06 02:05:56.383+00,396462,97620,10366
2024-01-06 02:06:57.34+00,396462,97680,110232
2024-01-06 02:10:01.333+00,396462,97800,10101
2024-01-06 02:11:59.413+00,396462,97920,10103
2024-01-06 02:14:39.353+00,396462,98040,10501
2024-01-06 02:16:17.38+00,396462,98160,10503
2024-01-06 02:17:12.293+00,396462,98220,10505
2024-01-06 02:19:09.327+00,396462,98340,10507
2024-01-06 02:21:49.307+00,396462,98460,12301
2024-01-06 02:22:56.327+00,396462,98520,12305
2024-01-06 02:24:59.293+00,396462,98580,12303
2024-01-06 02:27:08.323+00,396462,98700,12321
2024-01-06 02:28:00.15614+00,396462,98760,12501
2024-01-06 02:28:59.36+00,396462,98820,12507
2024-01-06 02:30:06.243+00,396462,98880,12503
2024-01-06 02:31:19.267+00,396462,98940,12505
2024-01-06 02:32:21.35+00,396462,99000,18111
2024-01-06 02:34:18.287+00,396462,99060,18101
2024-01-06 02:35:07.377+00,396462,99060,18131
2024-01-06 02:36:04.762199+00,396462,99120,18103
2024-01-06 02:37:28.6176+00,396462,99180,18113
2024-01-06 02:38:43.004636+00,396462,99240,18149
2024-01-06 02:39:33.112455+00,396462,99300,18147
2024-01-06 02:40:19.247+00,396462,99360,18145
2024-01-06 02:40:45.016356+00,396462,99420,18143
2024-01-06 02:41:39.283+00,396462,99480,18141
2024-01-06 02:42:40.32+00,396462,99540,18109
2024-01-06 02:00:19.618523+00,396463,97200,24110
2024-01-06 02:01:03.736864+00,396463,97260,24108
2024-01-06 02:01:50.040683+00,396463,97320,24106
2024-01-06 02:02:40.333+00,396463,97380,24104
2024-01-06 02:03:44.569094+00,396463,97440,24146
2024-01-06 02:04:49.33+00,396463,97500,24102
2024-01-06 02:06:07.761111+00,396463,97560,20730
2024-01-06 02:07:04.45+00,396463,97620,120632
2024-01-06 02:08:23.35+00,396463,97680,120628
2024-01-06 02:09:19.357+00,396463,97740,120626
2024-01-06 02:10:01.427+00,396463,97800,120624
2024-01-06 02:10:51.327+00,396463,97860,20906
2024-01-06 02:12:30.4+00,396463,97980,10712
2024-01-06 02:14:51.297+00,396463,98100,110024
2024-01-06 02:16:42.27+00,396463,98160,10126
2024-01-06 02:17:27.439868+00,396463,98220,110221
2024-01-06 02:18:56.29+00,396463,98280,110223
2024-01-06 02:19:58.34+00,396463,98340,120269
2024-01-06 02:21:30.307+00,396463,98460,11321
2024-01-06 02:22:31.34+00,396463,98520,21101
2024-01-06 02:23:45.367+00,396463,98640,21103
2024-01-06 02:26:50.44+00,396463,98760,21160
2024-01-06 02:33:47.143984+00,396463,99180,21121
2024-01-06 02:35:58.98023+00,396463,99300,11320
2024-01-06 02:37:58.313+00,396463,99420,10366
2024-01-06 02:41:20.467+00,396463,99600,10377
2024-01-06 02:42:18.697778+00,396463,99720,10379
2024-01-06 02:43:17.407+00,396463,99780,111401
2024-01-06 02:44:06.12256+00,396463,99840,111403
2024-01-06 02:44:32.205859+00,396463,99840,111405
2024-01-06 02:44:56.858593+00,396463,99900,111601
2024-01-06 02:45:37.41+00,396463,99960,11703
2024-01-06 02:47:54.343+00,396463,100080,11712
2024-01-06 02:48:50.514524+00,396463,100140,11719
2024-01-06 02:49:13.393+00,396463,100200,11731
2024-01-06 02:50:08.357+00,396463,100260,11729
2024-01-06 02:51:05.438365+00,396463,100320,17101
2024-01-06 02:52:17.293+00,396463,100380,17132
2024-01-06 02:53:37.327+00,396463,100440,17134
2024-01-06 02:54:12.546791+00,396463,100500,17136
2024-01-06 02:54:42.565904+00,396463,100500,17138
2024-01-06 02:55:21.327+00,396463,100560,11550
2024-01-06 02:56:07.797588+00,396463,100620,11548
2024-01-06 02:57:56.413+00,396463,100740,16518
2024-01-06 02:58:45.357+00,396463,100800,16516
2024-01-06 02:59:53.473+00,396463,100860,16514
2024-01-06 02:03:29.327+00,396464,97380,21105
2024-01-06 02:05:20.377+00,396464,97440,21117
2024-01-06 02:06:39.383+00,396464,97500,21107
2024-01-06 02:07:53.363+00,396464,97560,21109
2024-01-06 02:08:47.809904+00,396464,97620,26301
2024-01-06 02:09:37.253+00,396464,97680,26303
2024-01-06 02:10:51.377+00,396464,97740,26305
2024-01-06 02:11:41.433+00,396464,97800,26321
2024-01-06 02:12:30.407+00,396464,97860,26307
2024-01-06 02:14:26.014057+00,396464,97920,26309
2024-01-06 02:15:08.011446+00,396464,97980,26311
2024-01-06 02:15:47.417+00,396464,98040,26313
2024-01-06 02:17:43.407+00,396464,98160,26315
2024-01-06 02:19:09.383+00,396464,98220,26317
2024-01-06 02:19:47.651346+00,396464,98280,26329
2024-01-06 02:20:35.373+00,396464,98340,16510
2024-01-06 02:22:22.146207+00,396464,98400,16525
2024-01-06 02:23:39.42+00,396464,98460,11368
2024-01-06 02:01:08.307+00,396465,97320,20638
2024-01-06 02:02:09.267+00,396465,97380,20720
2024-01-06 02:03:18.729208+00,396465,97440,20726
2024-01-06 02:04:49.387+00,396465,97560,23141
2024-01-06 02:06:57.297+00,396465,97680,23143
2024-01-06 02:08:05.257+00,396465,97740,23145
2024-01-06 02:09:37.41+00,396465,97800,23149
2024-01-06 02:10:32.865343+00,396465,97860,23151
2024-01-06 02:11:59.347+00,396465,97920,23155
2024-01-06 02:13:07.27+00,396465,97980,23503
2024-01-06 02:14:21.25+00,396465,98040,23505
2024-01-06 02:14:57.250338+00,396465,98100,23507
2024-01-06 02:15:37.523538+00,396465,98160,23509
2024-01-06 02:16:38.165392+00,396465,98220,23511
2024-01-06 02:19:45.25+00,396465,98400,23513
2024-01-06 02:01:06.596142+00,396466,96840,21130
2024-01-06 02:03:02.905155+00,396466,97320,21102
2024-01-06 02:05:44.387+00,396466,97440,120268
2024-01-06 02:08:42.463+00,396466,97560,10366
2024-01-06 02:09:37.782034+00,396466,97620,110232
2024-01-06 02:11:28.37+00,396466,97740,10101
2024-01-06 02:13:19.333+00,396466,97860,10103
2024-01-06 02:14:35.390834+00,396466,97920,110607
2024-01-06 02:15:03.407+00,396466,97980,110601
2024-01-06 02:15:34.373+00,396466,98040,110654
2024-01-06 02:17:55.253+00,396466,98160,30703
2024-01-06 02:19:09.397+00,396466,98280,10705
2024-01-06 02:21:00.363+00,396466,98460,23143
2024-01-06 02:22:19.43+00,396466,98520,23116
2024-01-06 02:23:13.808365+00,396466,98580,23114
2024-01-06 02:24:26.616978+00,396466,98640,23112
2024-01-06 02:25:26.5239+00,396466,98700,23105
2024-01-06 02:25:52.348403+00,396466,98760,23107
2024-01-06 02:26:45.887401+00,396466,98820,23301
2024-01-06 02:00:13.207145+00,396467,97260,110276
2024-01-06 02:01:20.277+00,396467,97380,110256
2024-01-06 02:02:46.36+00,396467,97500,110250
2024-01-06 02:06:45.433+00,396467,97620,110223
2024-01-06 02:07:34.42+00,396467,97680,120269
2024-01-06 02:10:01.407+00,396467,97920,21120
2024-01-06 02:11:59.587266+00,396467,98100,21101
2024-01-06 02:01:37.702507+00,396468,97320,11369
2024-01-06 02:02:09.447+00,396468,97380,11371
2024-01-06 02:04:30.654792+00,396468,97500,11373
2024-01-06 02:05:12.405077+00,396468,97560,11375
2024-01-06 02:06:02.433+00,396468,97620,11363
2024-01-06 02:07:16.287+00,396468,97680,11377
2024-01-06 02:10:01.337+00,396468,97800,16521
2024-01-06 02:11:00.904093+00,396468,97860,26325
2024-01-06 02:11:39.735209+00,396468,97920,26327
2024-01-06 02:13:09.747415+00,396468,97980,26338
2024-01-06 02:00:31.243+00,396469,97260,12306
2024-01-06 02:02:09.5+00,396469,97320,12302
2024-01-06 02:04:18.317+00,396469,97380,10508
2024-01-06 02:05:50.417+00,396469,97440,10506
2024-01-06 02:06:34.416359+00,396469,97440,10504
2024-01-06 02:07:59.383+00,396469,97560,10502
2024-01-06 02:10:14.337+00,396469,97680,10108
2024-01-06 02:11:47.387+00,396469,97740,110241
2024-01-06 02:13:44.373+00,396469,97860,110250
2024-01-06 02:15:59.267+00,396469,97980,10365
2024-01-06 02:18:36.985121+00,396469,98100,11322
2024-01-06 02:19:58.397+00,396469,98160,21120
2024-01-06 02:22:23.490101+00,396469,98340,21101
2024-01-06 02:23:27.393+00,396469,98460,21103
2024-01-06 02:26:31.317+00,396469,98580,21153
2024-01-06 02:32:28.962502+00,396469,99120,21102
2024-01-06 02:35:04.45219+00,396469,99240,120268
2024-01-06 02:36:26.453+00,396469,99360,110222
2024-01-06 02:39:05.387+00,396469,99480,10111
2024-01-06 02:42:38.780921+00,396469,99660,20303
2024-01-06 02:44:42.413+00,396469,99720,20909
2024-01-06 02:45:43.353+00,396469,99780,120813
2024-01-06 02:46:46.49+00,396469,99840,120815
2024-01-06 02:47:54.337+00,396469,99960,120817
2024-01-06 02:49:03.254068+00,396469,100020,24501
2024-01-06 02:50:08.413+00,396469,100080,24503
2024-01-06 02:51:27.305345+00,396469,100140,24523
2024-01-06 02:52:05.41+00,396469,100200,24525
2024-01-06 02:53:19.134391+00,396469,100260,24505
2024-01-06 02:54:32.286971+00,396469,100320,24507
2024-01-06 02:56:01.772948+00,396469,100380,24509
2024-01-06 02:56:50.307417+00,396469,100440,24518
2024-01-06 02:58:33.709148+00,396469,100560,24521
2024-01-06 02:01:34.530869+00,396470,97260,24522
2024-01-06 02:03:23.293+00,396470,97320,24520
2024-01-06 02:04:12.772898+00,396470,97380,24533
2024-01-06 02:05:02.768036+00,396470,97440,24526
2024-01-06 02:05:44.327+00,396470,97500,24524
2024-01-06 02:06:27.307+00,396470,97560,24504
2024-01-06 02:07:59.912338+00,396470,97620,24502
2024-01-06 02:08:48.287+00,396470,97680,120818
2024-01-06 02:10:08.412909+00,396470,97800,120820
2024-01-06 02:10:57.29+00,396470,97800,120820
2024-01-06 02:12:08.467914+00,396470,97860,20924
2024-01-06 02:13:32.403+00,396470,97920,20932
2024-01-06 02:14:27.655011+00,396470,97980,20304
2024-01-06 02:14:52.612319+00,396470,98040,20302
2024-01-06 02:16:24.307+00,396470,98160,10126
2024-01-06 02:17:06.337+00,396470,98220,110221
2024-01-06 02:18:56.24+00,396470,98280,110223
2024-01-06 02:19:45.28+00,396470,98340,120269
2024-01-06 02:21:24.267+00,396470,98460,11321
2024-01-06 02:22:31.377+00,396470,98520,21101
2024-01-06 02:26:19.467+00,396470,98700,21111
2024-01-06 02:30:25.334675+00,396470,99060,21103
2024-01-06 02:31:31.38+00,396470,99180,21105
2024-01-06 02:33:00.351795+00,396470,99240,21117
2024-01-06 02:33:53.28+00,396470,99300,21107
2024-01-06 02:35:31.35+00,396470,99360,21131
2024-01-06 02:37:15.277+00,396470,99420,21133
2024-01-06 02:38:04.27+00,396470,99480,21129
2024-01-06 02:38:41.303+00,396470,99540,21135
2024-01-06 02:39:36.877309+00,396470,99600,26101
2024-01-06 02:02:34.357+00,396472,97320,21102
2024-01-06 02:05:32.35+00,396472,97440,120268
2024-01-06 02:08:23.417+00,396472,97560,110222
2024-01-06 02:11:09.31+00,396472,97680,10123
2024-01-06 02:12:11.39+00,396472,97740,10101
2024-01-06 02:13:32.383+00,396472,97860,10103
2024-01-06 02:16:05.25+00,396472,97980,10501
2024-01-06 02:19:11.125202+00,396472,98100,10511
2024-01-06 02:19:58.38+00,396472,98160,10513
2024-01-06 02:20:58.490135+00,396472,98220,10527
2024-01-06 02:22:44.680422+00,396472,98340,110423
2024-01-06 02:23:36.770434+00,396472,98400,10517
2024-01-06 02:24:15.728799+00,396472,98460,10519
2024-01-06 02:25:30.19432+00,396472,98520,12311
2024-01-06 02:26:50.417+00,396472,98640,12313
2024-01-06 02:27:39.427+00,396472,98700,12315
2024-01-06 02:30:30.373+00,396472,98880,12711
2024-01-06 02:31:46.371394+00,396472,98940,12713
2024-01-06 02:32:33.427+00,396472,99000,12715
2024-01-06 02:33:22.407+00,396472,99060,12717
2024-01-06 02:34:18.257+00,396472,99120,12732
2024-01-06 02:35:55.42+00,396472,99240,12707
2024-01-06 02:37:03.377+00,396472,99300,18537
2024-01-06 02:37:58.427+00,396472,99360,18526
2024-01-06 02:38:53.393+00,396472,99420,18515
2024-01-06 02:39:36.588327+00,396472,99420,18503
2024-01-06 02:40:44.337+00,396472,99480,18505
2024-01-06 02:41:45.383+00,396472,99540,18517
2024-01-06 02:42:32.629803+00,396472,99600,18547
2024-01-06 02:43:00.29187+00,396472,99660,18507
2024-01-06 02:43:35.413+00,396472,99720,18509
2024-01-06 02:44:20.538743+00,396472,99780,18533
2024-01-06 02:45:07.357+00,396472,99840,18511
2024-01-06 02:45:50.162399+00,396472,99900,18701
2024-01-06 02:46:29.415778+00,396472,99960,18703
2024-01-06 02:47:32.453661+00,396472,100020,18707
2024-01-06 02:48:23.131971+00,396472,100080,18709
2024-01-06 02:48:52.391604+00,396472,100140,18720
2024-01-06 02:49:26.312727+00,396472,100140,18711
2024-01-06 02:00:50.337+00,396473,97260,17303
2024-01-06 02:01:57.37+00,396473,97320,17305
2024-01-06 02:02:58.393+00,396473,97380,17315
2024-01-06 02:03:59.280559+00,396473,97440,17307
2024-01-06 02:04:46.566024+00,396473,97500,17309
2024-01-06 02:06:26.482234+00,396473,97620,11716
2024-01-06 02:09:19.323+00,396473,97740,11726
2024-01-06 02:11:34.383+00,396473,97800,11724
2024-01-06 02:13:07.313+00,396473,97860,11722
2024-01-06 02:13:44.283+00,396473,97920,11526
2024-01-06 02:14:44.561455+00,396473,97980,11524
2024-01-06 02:15:34.367+00,396473,98040,11522
2024-01-06 02:16:24.233985+00,396473,98100,11530
2024-01-06 02:17:00.333+00,396473,98160,11532
2024-01-06 02:17:55.392686+00,396473,98220,11324
2024-01-06 02:20:16.353+00,396473,98340,11322
2024-01-06 02:21:30.407+00,396473,98400,21120
2024-01-06 02:23:39.37+00,396473,98580,21101
2024-01-06 02:25:05.38+00,396473,98700,21112
2024-01-06 02:32:19.072912+00,396473,99120,21102
2024-01-06 02:33:35.403+00,396473,99240,120268
2024-01-06 02:36:20.33+00,396473,99360,110222
2024-01-06 02:39:05.373+00,396473,99480,10111
2024-01-06 02:41:59.611503+00,396473,99600,20301
2024-01-06 02:42:51.923597+00,396473,99660,120821
2024-01-06 02:44:36.377+00,396473,99780,120823
2024-01-06 02:46:46.443+00,396473,99840,120825
2024-01-06 02:48:18.39+00,396473,99960,124201
2024-01-06 02:49:32.327+00,396473,100020,24303
2024-01-06 02:50:43.761132+00,396473,100080,24305
2024-01-06 02:52:35.44+00,396473,100200,24131
2024-01-06 02:53:45.809174+00,396473,100260,24133
2024-01-06 02:55:03.477+00,396473,100320,24107
2024-01-06 02:56:48.347+00,396473,100440,29101
2024-01-06 02:57:35.810011+00,396473,100500,29103
2024-01-06 02:58:57.393+00,396473,100560,29129
2024-01-06 03:00:29.648521+00,396473,100620,29501
2024-01-06 03:01:02.576351+00,396473,100680,29539
2024-01-06 03:01:20.282656+00,396473,100680,29503
2024-01-06 03:03:02.738049+00,396473,100740,29521
2024-01-06 03:03:59.468858+00,396473,100800,29532
2024-01-06 03:05:56.850762+00,396473,100860,29522
2024-01-06 03:08:15.383+00,396473,100980,29531
2024-01-06 03:09:55.153266+00,396473,101040,29533
2024-01-06 03:10:49.283+00,396473,101100,29535
2024-01-06 03:12:08.407+00,396473,101160,29537
2024-01-06 03:14:23.357+00,396473,101220,29551
2024-01-06 03:15:12.37+00,396473,101280,29553
2024-01-06 02:00:19.39+00,396474,96960,21112
2024-01-06 02:01:52.738717+00,396474,97320,21102
2024-01-06 02:03:47.29+00,396474,97440,120268
2024-01-06 02:07:04.457+00,396474,97560,110222
2024-01-06 02:09:00.317+00,396474,97680,110021
2024-01-06 02:10:08.33+00,396474,97740,110023
2024-01-06 02:11:53.31+00,396474,97860,20711
2024-01-06 02:13:32.243+00,396474,97980,120621
2024-01-06 02:14:02.38+00,396474,97980,120623
2024-01-06 02:14:45.347+00,396474,98040,120625
2024-01-06 02:15:40.417+00,396474,98160,120627
2024-01-06 02:16:54.413+00,396474,98220,120631
2024-01-06 02:18:07.39+00,396474,98280,20729
2024-01-06 02:19:58.37+00,396474,98400,24101
2024-01-06 02:21:06.343+00,396474,98460,24145
2024-01-06 02:21:51.535436+00,396474,98520,24103
2024-01-06 02:22:25.34+00,396474,98580,24105
2024-01-06 02:24:16.337+00,396474,98640,24107
2024-01-06 02:26:01.24+00,396474,98760,29101
2024-01-06 02:26:50.413+00,396474,98820,29103
2024-01-06 02:30:46.795968+00,396474,99000,29321
2024-01-06 02:32:09.37+00,396474,99060,29311
2024-01-06 02:35:33.793331+00,396474,99300,29319
2024-01-06 02:00:25.383+00,396475,97080,24315
2024-01-06 02:01:39.603057+00,396475,97140,24701
2024-01-06 02:01:53.75406+00,396475,97200,24703
2024-01-06 02:02:58.247+00,396475,97260,24705
2024-01-06 02:04:05.257+00,396475,97320,24707
2024-01-06 02:05:48.431548+00,396475,97380,24721
2024-01-06 02:06:15.79797+00,396475,97380,24709
2024-01-06 02:06:37.574748+00,396475,97440,24711
2024-01-06 02:07:16.3+00,396475,97500,24719
2024-01-06 02:08:23.363+00,396475,97560,24713
2024-01-06 02:09:13.33+00,396475,97620,24715
2024-01-06 02:10:12.632375+00,396475,97680,24717
2024-01-06 02:00:24.585482+00,396476,97140,116406
2024-01-06 02:01:14.907099+00,396476,97200,16512
2024-01-06 02:02:22.267+00,396476,97260,16520
2024-01-06 02:02:58.31+00,396476,97320,11308
2024-01-06 02:03:48.915273+00,396476,97380,11306
2024-01-06 02:04:38.798786+00,396476,97440,11338
2024-01-06 02:05:48.807531+00,396476,97500,11304
2024-01-06 02:06:08.453+00,396476,97500,11318
2024-01-06 02:07:31.215568+00,396476,97560,11302
2024-01-06 02:08:11.313+00,396476,97620,11328
2024-01-06 02:10:31.826116+00,396476,97680,11326
2024-01-06 02:11:28.370769+00,396476,97740,11322
2024-01-06 02:12:17.307+00,396476,97800,21120
2024-01-06 02:14:18.344402+00,396476,97980,21101
2024-01-06 02:15:28.313+00,396476,98040,21130
2024-01-06 02:19:00.064985+00,396476,98340,21102
2024-01-06 02:21:12.35+00,396476,98460,120268
2024-01-06 02:23:51.41+00,396476,98580,10366
2024-01-06 02:24:15.341859+00,396476,98640,110232
2024-01-06 02:26:01.307+00,396476,98760,10101
2024-01-06 02:27:57.357+00,396476,98880,10103
2024-01-06 02:30:18.427+00,396476,99000,20711
2024-01-06 02:31:38.383+00,396476,99060,120613
2024-01-06 02:32:58.377+00,396476,99120,120615
2024-01-06 02:34:11.357+00,396476,99180,20717
2024-01-06 02:36:38.357+00,396476,99300,23121
2024-01-06 02:37:21.407+00,396476,99360,23123
2024-01-06 02:38:43.245211+00,396476,99420,23161
2024-01-06 02:39:09.236548+00,396476,99480,23167
2024-01-06 02:39:36.373+00,396476,99480,23163
2024-01-06 02:40:23.945408+00,396476,99540,23169
2024-01-06 02:41:08.297+00,396476,99600,23551
2024-01-06 02:41:58.72685+00,396476,99660,23553
2024-01-06 02:42:34.373+00,396476,99720,23555
2024-01-06 02:43:34.38618+00,396476,99780,23557
2024-01-06 02:00:25.367+00,396477,97200,12124
2024-01-06 02:02:15.297+00,396477,97320,112014
2024-01-06 02:02:58.397+00,396477,97380,112012
2024-01-06 02:04:27.287496+00,396477,97440,12149
2024-01-06 02:05:07.39+00,396477,97500,12153
2024-01-06 02:06:08.403+00,396477,97560,12157
2024-01-06 02:07:40.33+00,396477,97680,11706
2024-01-06 02:09:13.581783+00,396477,97740,11704
2024-01-06 02:10:08.273+00,396477,97800,111602
2024-01-06 02:10:39.065229+00,396477,97860,111406
2024-01-06 02:11:28.353+00,396477,97920,111404
2024-01-06 02:12:42.283+00,396477,97980,111402
2024-01-06 02:14:39.397+00,396477,98040,10378
2024-01-06 02:16:11.263+00,396477,98160,10373
2024-01-06 02:18:38.423+00,396477,98280,10365
2024-01-06 02:19:58.363+00,396477,98400,11322
2024-01-06 02:21:18.373+00,396477,98460,21120
2024-01-06 02:23:36.491349+00,396477,98640,21101
2024-01-06 02:24:40.363+00,396477,98760,21112
2024-01-06 02:32:07.962305+00,396477,99120,21102
2024-01-06 02:33:29.447+00,396477,99240,120268
2024-01-06 02:35:13.243+00,396477,99360,110222
2024-01-06 02:38:22.34+00,396477,99480,10111
2024-01-06 02:42:36.466056+00,396477,99660,20303
2024-01-06 02:43:23.323+00,396477,99720,20931
2024-01-06 02:44:30.38+00,396477,99780,20903
2024-01-06 02:45:56.297+00,396477,99900,20721
2024-01-06 02:46:39.427+00,396477,99960,20723
2024-01-06 02:48:55.37+00,396477,100080,24112
2024-01-06 02:50:26.938361+00,396477,100140,23701
2024-01-06 02:51:19.07298+00,396477,100200,23704
2024-01-06 02:52:04.733711+00,396477,100260,23733
2024-01-06 02:52:41.283+00,396477,100320,23709
2024-01-06 02:52:59.00848+00,396477,100320,23715
2024-01-06 02:53:49.38+00,396477,100380,23717
2024-01-06 02:54:07.39+00,396477,100440,23727
2024-01-06 02:55:01.671857+00,396477,100500,23719
2024-01-06 02:55:37.644507+00,396477,100560,23721
2024-01-06 02:56:32.312228+00,396477,100620,23723
2024-01-06 02:01:45.33+00,396478,97380,120269
2024-01-06 02:04:30.337+00,396478,97620,21120
2024-01-06 02:02:46.263+00,396479,97380,21121
2024-01-06 02:03:44.810976+00,396479,97500,11320
2024-01-06 02:05:20.423+00,396479,97560,11319
2024-01-06 02:06:57.443+00,396479,97620,11323
2024-01-06 02:08:36.383+00,396479,97740,11531
2024-01-06 02:09:19.373+00,396479,97800,11535
2024-01-06 02:10:32.180271+00,396479,97860,11523
2024-01-06 02:11:28.273+00,396479,97920,11525
2024-01-06 02:12:11.327+00,396479,97980,11721
2024-01-06 02:14:14.307+00,396479,98100,11723
2024-01-06 02:16:54.407+00,396479,98220,11711
2024-01-06 02:17:48.548699+00,396479,98280,11713
2024-01-06 02:19:03.35+00,396479,98340,17310
2024-01-06 02:20:04.307+00,396479,98400,17308
2024-01-06 02:20:35.41+00,396479,98460,17316
2024-01-06 02:21:25.229081+00,396479,98460,17306
2024-01-06 02:22:09.390322+00,396479,98520,17304
2024-01-06 02:22:57.10143+00,396479,98580,17300
2024-01-06 02:23:27.467+00,396479,98640,17302
2024-01-06 02:24:28.423+00,396479,98700,17312
2024-01-06 02:26:56.32+00,396479,98820,112016
2024-01-06 02:28:34.403+00,396479,98880,12122
2024-01-06 02:29:23.297+00,396479,98940,12123
2024-01-06 02:30:12.467+00,396479,99000,12125
2024-01-06 02:11:03.556812+00,396480,97320,121005
2024-01-06 02:11:36.426495+00,396480,97380,121007
2024-01-06 02:12:30.257+00,396480,97440,121009
2024-01-06 02:13:56.343+00,396480,97500,21125
2024-01-06 02:15:22.33+00,396480,97560,21145
2024-01-06 02:15:55.60435+00,396480,97620,21157
2024-01-06 02:16:24.28+00,396480,97680,21147
2024-01-06 02:17:30.39+00,396480,97740,21149
2024-01-06 02:18:21.504929+00,396480,97800,21151
2024-01-06 02:19:02.685516+00,396480,97860,21155
